hospital_ownership,mortality_norm,patient_exp_norm,readmissions_norm,safety_psi_norm,composite_score
Gov - Federal,0.3984375,0.16852603110209607,0.0,0.29192546583850887,0.21472224923515124
Gov - District,0.09375,0.35767410412440853,0.1515151515151517,0.4037267080745337,0.2516664909285235
Gov - Local,0.0,0.41954022988505757,0.11111111111111238,0.5279503105590059,0.264650412888794
Gov - State,0.171875,0.2572684246112249,0.11111111111111238,0.0,0.13506363393058432
Physician,0.8828125,1.0,1.0,1.0,0.970703125
Proprietary,0.28125,0.0,0.010101010101011276,0.8447204968944099,0.28401787674885526
Tribal,1.0,0.1954022988505758,0.3535353535353539,0.8012422360248446,0.5875449721026935
Non-profit - Church,0.1796875,0.22025016903313016,0.22222222222222243,0.7888198757763973,0.35274494175793747
Non-profit - Other,0.1640625,0.28144016227180646,0.17171717171717193,0.5962732919254663,0.3033732814786112
Non-profit - Private,0.07812500000000011,0.2932724814063557,0.16161616161616177,0.6024844720496891,0.2838745287680517
