state,worse_mortality_count,worse_safety_count,worse_infections_count,low_satisfaction_count,high_spending_count,total_facilities,mortality_conc_%,safety_conc_%,infection_conc_%,low_satisfaction_conc_%,high_spending_conc_%,total_systemic_risk
NY,15.0,30.0,9.0,103.0,70.0,190,7.894736842105263,15.789473684210526,4.736842105263158,54.21052631578947,36.84210526315789,20.657894736842103
FL,16.0,20.0,10.0,117.0,107.0,222,7.207207207207207,9.00900900900901,4.504504504504505,52.702702702702695,48.1981981981982,18.355855855855854
CA,18.0,28.0,15.0,201.0,185.0,378,4.761904761904762,7.4074074074074066,3.968253968253968,53.17460317460318,48.94179894179894,17.32804232804233
AZ,7.0,14.0,3.0,44.0,32.0,106,6.60377358490566,13.20754716981132,2.8301886792452833,41.509433962264154,30.18867924528302,16.037735849056602
WA,14.0,9.0,5.0,33.0,15.0,100,14.000000000000002,9.0,5.0,33.0,15.0,15.25
GA,10.0,16.0,14.0,50.0,35.0,148,6.756756756756757,10.81081081081081,9.45945945945946,33.78378378378378,23.64864864864865,15.202702702702702
NC,17.0,11.0,4.0,40.0,16.0,120,14.166666666666666,9.166666666666666,3.3333333333333335,33.33333333333333,13.333333333333334,14.999999999999998
AL,14.0,12.0,4.0,29.0,20.0,102,13.725490196078432,11.76470588235294,3.9215686274509802,28.431372549019606,19.607843137254903,14.46078431372549
TN,17.0,8.0,4.0,37.0,35.0,122,13.934426229508196,6.557377049180328,3.278688524590164,30.327868852459016,28.688524590163933,13.524590163934427
KY,8.0,10.0,6.0,29.0,24.0,102,7.8431372549019605,9.803921568627452,5.88235294117647,28.431372549019606,23.52941176470588,12.990196078431373
IL,7.0,17.0,7.0,68.0,61.0,194,3.608247422680412,8.762886597938143,3.608247422680412,35.051546391752574,31.443298969072163,12.757731958762886
MO,15.0,9.0,3.0,34.0,26.0,121,12.396694214876034,7.43801652892562,2.479338842975207,28.09917355371901,21.487603305785125,12.603305785123968
PA,6.0,15.0,9.0,59.0,53.0,188,3.1914893617021276,7.9787234042553195,4.787234042553192,31.382978723404253,28.191489361702125,11.835106382978722
MI,4.0,8.0,7.0,51.0,34.0,148,2.7027027027027026,5.405405405405405,4.72972972972973,34.45945945945946,22.972972972972975,11.824324324324325
OH,3.0,10.0,7.0,57.0,52.0,196,1.530612244897959,5.1020408163265305,3.571428571428571,29.081632653061224,26.53061224489796,9.821428571428571
MS,17.0,6.0,3.0,14.0,22.0,106,16.037735849056602,5.660377358490567,2.8301886792452833,13.20754716981132,20.754716981132077,9.433962264150942
IN,15.0,4.0,1.0,34.0,43.0,150,10.0,2.666666666666667,0.6666666666666667,22.666666666666664,28.666666666666668,9.0
TX,16.0,31.0,10.0,102.0,188.0,465,3.4408602150537635,6.666666666666667,2.1505376344086025,21.935483870967744,40.43010752688172,8.548387096774194
OK,10.0,7.0,6.0,21.0,26.0,135,7.4074074074074066,5.185185185185185,4.444444444444445,15.555555555555555,19.25925925925926,8.148148148148149
IA,9.0,7.0,0.0,16.0,5.0,118,7.627118644067797,5.932203389830509,0.0,13.559322033898304,4.23728813559322,6.779661016949152
KS,12.0,5.0,2.0,14.0,17.0,138,8.695652173913043,3.6231884057971016,1.4492753623188406,10.144927536231885,12.318840579710146,5.978260869565217
WI,5.0,9.0,5.0,12.0,15.0,142,3.5211267605633805,6.338028169014084,3.5211267605633805,8.450704225352112,10.56338028169014,5.457746478873239
LA,8.0,6.0,7.0,12.0,47.0,161,4.968944099378882,3.7267080745341614,4.3478260869565215,7.453416149068323,29.19254658385093,5.124223602484472
MN,2.0,3.0,3.0,13.0,12.0,136,1.4705882352941175,2.2058823529411766,2.2058823529411766,9.558823529411764,8.823529411764707,3.860294117647059
