facility_id,worse_flags_mort,patient_exp_score,comp_score_psi_90,avg_ratio,facility_name,state,hospital_type,hospital_overall_rating,med_complete_episode__total
310092,1,78.25,1.21,1.0047333333333333,CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,Acute Care Hospitals,2.0,35846
100022,2,84.5,1.3,1.01545,JACKSON HEALTH SYSTEM,FL,Acute Care Hospitals,1.0,33532
310038,1,84.375,1.14,1.1265333333333334,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,Acute Care Hospitals,2.0,32849
050056,1,78.125,1.07,1.0219500000000001,ANTELOPE VALLEY HOSPITAL,CA,Acute Care Hospitals,1.0,32544
110064,1,83.25,1.58,1.0128750000000002,PIEDMONT COLUMBUS REGIONAL MIDTOWN,GA,Acute Care Hospitals,1.0,31556
310118,1,84.375,1.15,1.00115,HUDSON REGIONAL HOSPITAL,NJ,Acute Care Hospitals,1.0,31515
290046,1,81.875,1.03,1.00195,SPRING VALLEY HOSPITAL MEDICAL CENTER,NV,Acute Care Hospitals,2.0,31376
180010,1,83.375,1.35,1.0495666666666665,SAINT JOSEPH HOSPITAL,KY,Acute Care Hospitals,2.0,31318
450133,3,85.25,1.12,1.01716,MIDLAND MEMORIAL HOSPITAL,TX,Acute Care Hospitals,1.0,31214
030065,1,80.125,1.23,1.03292,BANNER DESERT MEDICAL CENTER,AZ,Acute Care Hospitals,2.0,30911
450083,1,82.75,1.15,1.0416333333333332,UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,TX,Acute Care Hospitals,1.0,30885
110034,1,83.375,1.32,1.03112,"WELLSTAR MCG HEALTH, AFFILIATED WITH MED COL",GA,Acute Care Hospitals,1.0,30606
330395,1,76.125,1.26,1.1635,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,Acute Care Hospitals,1.0,30252
450184,1,85.75,1.02,1.057416666666667,MEMORIAL HERMANN HOSPITAL SYSTEM,TX,Acute Care Hospitals,3.0,30176
440063,1,79.875,1.23,1.0299333333333334,JOHNSON CITY MEDICAL CENTER,TN,Acute Care Hospitals,,29238
150082,1,84.5,1.08,1.04565,DEACONESS HOSPITAL INC,IN,Acute Care Hospitals,2.0,28557
310044,1,83.125,1.12,1.0452400000000002,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,Acute Care Hospitals,3.0,28389
030006,1,81.875,1.3,1.0797333333333332,TUCSON MEDICAL CENTER,AZ,Acute Care Hospitals,2.0,28188
320018,1,82.25,1.18,1.0250400000000002,MEMORIAL MEDICAL CENTER,NM,Acute Care Hospitals,1.0,27949
180088,1,85.375,1.08,1.0760833333333335,"NORTON HOSPITALS, INC",KY,Acute Care Hospitals,2.0,27870
250048,2,83.75,1.09,1.0281,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,MS,Acute Care Hospitals,1.0,27730
100212,1,82.875,2.12,1.0749,MARION COMMUNTIY HOSPITAL,FL,Acute Care Hospitals,1.0,27356
510022,1,85.25,1.92,1.0395,CHARLESTON AREA MEDICAL CENTER,WV,Acute Care Hospitals,1.0,27262
500129,1,82.875,1.19,1.0274333333333332,TACOMA GENERAL ALLENMORE HOSPITAL,WA,Acute Care Hospitals,2.0,27234
330044,1,80.625,1.5,1.013675,WYNN HOSPITAL,NY,Acute Care Hospitals,1.0,26981
340028,1,84.25,1.06,1.0169833333333334,CAPE FEAR VALLEY MEDICAL CENTER,NC,Acute Care Hospitals,1.0,26865
100157,1,83.5,1.55,1.0404,LAKELAND REGIONAL MEDICAL CENTER,FL,Acute Care Hospitals,1.0,26547
030061,1,81.625,1.41,1.0170000000000001,BANNER BOSWELL MEDICAL CENTER,AZ,Acute Care Hospitals,3.0,26521
010040,1,82.625,1.58,1.0389166666666667,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,1.0,26483
100052,1,84.75,1.06,1.0547799999999998,WINTER HAVEN HOSPITAL,FL,Acute Care Hospitals,2.0,26446
340116,1,83.625,1.03,1.0402,FRYE REGIONAL MEDICAL CENTER,NC,Acute Care Hospitals,2.0,26380
100002,1,80.0,1.05,1.0403166666666668,BETHESDA HOSPITAL EAST,FL,Acute Care Hospitals,2.0,26043
150012,2,84.0,1.12,1.00122,SAINT JOSEPH REGIONAL MEDICAL CENTER,IN,Acute Care Hospitals,2.0,25833
450747,1,85.75,1.05,1.0378,PALESTINE REGIONAL MEDICAL CENTER,TX,Acute Care Hospitals,2.0,25751
010006,2,82.0,1.14,1.0002166666666668,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,2.0,25745
